"TIME","GEO","SPECIES","SPECIES_LABEL","FISHREG","UNIT","Value","Flag and Footnotes"
"2012","European Union (current composition)","SPR","European sprat - Sprattus sprattus","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","European Union (current composition)","WHB","Blue whiting (=Poutassou) - Micromesistius poutassou","Atlantic, Northeast","Tonnes live weight",":",""
"2012","European Union (current composition)","WHB","Blue whiting (=Poutassou) - Micromesistius poutassou","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","European Union (current composition)","WHB","Blue whiting (=Poutassou) - Micromesistius poutassou","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","European Union (current composition)","WHB","Blue whiting (=Poutassou) - Micromesistius poutassou","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","European Union (current composition)","WHB","Blue whiting (=Poutassou) - Micromesistius poutassou","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","European Union (current composition)","YFT","Yellowfin tuna - Thunnus albacares","Atlantic, Northeast","Tonnes live weight",":",""
"2012","European Union (current composition)","YFT","Yellowfin tuna - Thunnus albacares","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","European Union (current composition)","YFT","Yellowfin tuna - Thunnus albacares","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","European Union (current composition)","YFT","Yellowfin tuna - Thunnus albacares","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","European Union (current composition)","YFT","Yellowfin tuna - Thunnus albacares","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","Belgium","F00","All aquatic organisms","Atlantic, Northeast","Tonnes live weight","24 371.2",""
"2012","Belgium","F00","All aquatic organisms","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","Belgium","F00","All aquatic organisms","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","Belgium","F00","All aquatic organisms","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","Belgium","F00","All aquatic organisms","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","Belgium","F01","Aquatic animals","Atlantic, Northeast","Tonnes live weight","24 371.2",""
"2012","Belgium","F01","Aquatic animals","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","Belgium","F01","Aquatic animals","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","Belgium","F01","Aquatic animals","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","Belgium","F01","Aquatic animals","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","Belgium","F10","Freshwater fishes","Atlantic, Northeast","Tonnes live weight",":",""
"2012","Belgium","F10","Freshwater fishes","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","Belgium","F10","Freshwater fishes","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","Belgium","F10","Freshwater fishes","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","Belgium","F10","Freshwater fishes","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","Belgium","F30","Marine fishes","Atlantic, Northeast","Tonnes live weight","20 910.5",""
"2012","Belgium","F30","Marine fishes","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","Belgium","F30","Marine fishes","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","Belgium","F30","Marine fishes","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","Belgium","F30","Marine fishes","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","Belgium","F37","Miscellaneous pelagic fishes","Atlantic, Northeast","Tonnes live weight","119.3",""
"2012","Belgium","F37","Miscellaneous pelagic fishes","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","Belgium","F37","Miscellaneous pelagic fishes","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","Belgium","F37","Miscellaneous pelagic fishes","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","Belgium","F37","Miscellaneous pelagic fishes","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","Belgium","ANE","European anchovy - Engraulis encrasicolus","Atlantic, Northeast","Tonnes live weight",":",""
"2012","Belgium","ANE","European anchovy - Engraulis encrasicolus","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","Belgium","ANE","European anchovy - Engraulis encrasicolus","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","Belgium","ANE","European anchovy - Engraulis encrasicolus","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","Belgium","ANE","European anchovy - Engraulis encrasicolus","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","Belgium","COD","Atlantic cod - Gadus morhua","Atlantic, Northeast","Tonnes live weight","1 214.4",""
"2012","Belgium","COD","Atlantic cod - Gadus morhua","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","Belgium","COD","Atlantic cod - Gadus morhua","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","Belgium","COD","Atlantic cod - Gadus morhua","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","Belgium","COD","Atlantic cod - Gadus morhua","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
