"TIME","GEO","SPECIES","FISHREG","UNIT","Value","Flag and Footnotes"
"2008","Belgium","Salmons, trouts, smelts","Atlantic, Northeast","Tonnes live weight",":",""
"2008","Belgium","Salmons, trouts, smelts","Atlantic, Eastern Central","Tonnes live weight",":",""
"2008","Belgium","Salmons, trouts, smelts","Mediterranean and Black Sea","Tonnes live weight",":",""
"2008","Belgium","Cods, hakes, haddocks","Total fishing areas","Tonnes live weight","2 504.67",""
"2008","Belgium","Cods, hakes, haddocks","Atlantic, Northwest","Tonnes live weight",":",""
"2008","Belgium","Cods, hakes, haddocks","Atlantic, Northeast","Tonnes live weight","2 504.67",""
"2008","Belgium","Cods, hakes, haddocks","Atlantic, Eastern Central","Tonnes live weight",":",""
"2008","Belgium","Cods, hakes, haddocks","Mediterranean and Black Sea","Tonnes live weight",":",""
"2008","Belgium","Herrings, sardines, anchovies","Total fishing areas","Tonnes live weight","0.61",""
"2008","Belgium","Herrings, sardines, anchovies","Atlantic, Northwest","Tonnes live weight",":",""
"2008","Belgium","Herrings, sardines, anchovies","Atlantic, Northeast","Tonnes live weight","0.61",""
"2008","Belgium","Herrings, sardines, anchovies","Atlantic, Eastern Central","Tonnes live weight",":",""
"2008","Belgium","Herrings, sardines, anchovies","Mediterranean and Black Sea","Tonnes live weight",":",""
"2008","Belgium","Tunas, bonitos, billfishes","Total fishing areas","Tonnes live weight",":",""
"2008","Belgium","Tunas, bonitos, billfishes","Atlantic, Northwest","Tonnes live weight",":",""
"2008","Belgium","Tunas, bonitos, billfishes","Atlantic, Northeast","Tonnes live weight",":",""
"2008","Belgium","Tunas, bonitos, billfishes","Atlantic, Eastern Central","Tonnes live weight",":",""
"2008","Belgium","Tunas, bonitos, billfishes","Mediterranean and Black Sea","Tonnes live weight",":",""
"2008","Belgium","European sprat - Sprattus sprattus","Total fishing areas","Tonnes live weight","0.4",""
"2008","Belgium","European sprat - Sprattus sprattus","Atlantic, Northwest","Tonnes live weight",":",""
"2008","Belgium","European sprat - Sprattus sprattus","Atlantic, Northeast","Tonnes live weight","0.4",""
"2008","Belgium","European sprat - Sprattus sprattus","Atlantic, Eastern Central","Tonnes live weight",":",""
"2008","Belgium","European sprat - Sprattus sprattus","Mediterranean and Black Sea","Tonnes live weight",":",""
"2008","Bulgaria","All aquatic organisms","Total fishing areas","Tonnes live weight","7 666.08",""
"2008","Bulgaria","All aquatic organisms","Atlantic, Northwest","Tonnes live weight",":",""
